"corner_place_id","google_id","name","neighborhood","website","instagram_handle","tags"
53862,"ChIJidmaBvdZwokRpeaRMeb_rX4","Radio Bakery","Greenpoint","http://radiobakery.nyc/",,"{bakery}"
646,"ChIJM3elBidawokRJKPC55N6pQI","Mei Lai Wah","Chinatown","http://meilaiwah.com/","meilaiwahcoffeeshop","{bakery,restaurant}"
2373,"ChIJtz83BQFcwokRrUZ9HpeGOng","SEY Coffee","Brooklyn","https://sey.coffee/","seycoffee","{cafe}"
1934,"ChIJ395CMVlawokRt2oLH_8zmvI","Lucali","Brooklyn","https://www.lucali.com/",,"{restaurant}"
13980,"ChIJW3Jhm8pZwokRlWrTFhoG1BU","Sauced","Brooklyn","https://www.saucedbklyn.com/","saucedbklyn","{bar}"
9841,"ChIJ26qnT6lZwokR0M8xAaWVR0k","Gem Wine","Lower East Side","http://gem-nyc.com/",,"{bar}"
1812,"ChIJ6WooklRYwokR3qd-J59t-k0","LOS TACOS No.1","Theater District","http://www.lostacos1.com/","lostacos1","{restaurant}"
420,"ChIJ4zGFAZpYwokRGUGph3Mf37k","Central Park","Manhattan","https://www.centralparknyc.org/","centralparknyc","{nature}"
1195,"ChIJDw8CYIpZwokRm_KQDaRtTK0","Taqueria Ramirez","Greenpoint","https://taqueriaramirezbk.com/","taqueria_ramirez_","{restaurant}"
21244,"ChIJpUwuIMNZwokRBlex2HAooM0","Caffè Panna","Gramercy","https://www.caffepanna.com/","caffepanna","{cafe}"
2466,"ChIJCar0f49ZwokR6ozLV-dHNTE","Katz's Delicatessen","Lower East Side","https://katzsdelicatessen.com/",,"{restaurant}"
15324,"ChIJk1s5AIFZwokRymNr0rhKWFE","Davelle","Lower East Side","http://davellenewyork.com/","davelle.nyc","{cafe,restaurant}"
1941,"ChIJw2lMFL9ZwokRosAtly52YX4","Chelsea Market","Chelsea District","https://www.chelseamarket.com/","chelseamarketny","{destination}"
249,"ChIJDbQMBIdZwokRVS4L8B8V5SA","Attaboy","Lower East Side","http://attaboy.us/nyc","attaboy134","{bar}"
188,"ChIJuabZo6hZwokRhGPoGjo0H6k","Shukette","Chelsea District","http://www.shukettenyc.com/","shukettenyc","{restaurant}"
153,"ChIJ9Sto4ahZwokRXpWiQYiOOOo","Grace Street Coffee & Desserts","Koreatown","https://www.bygracestreet.com/","gracestreetcafe","{bakery,cafe,restaurant}"
345,"ChIJP0KOWoxZwokRmvPiQAIaH1A","Dominique Ansel Bakery","SoHo","http://www.dominiqueanselny.com/","DominiqueAnsel","{bakery,cafe,restaurant}"
11217,"ChIJ_8dmJ0lbwokRIJHQFfXiMNo","Overstory","Financial District","https://www.overstory-nyc.com/",,"{bar}"
905,"ChIJU0c2Y6lZwokRKlyc_R8HN88","Cho Dang Gol","Midtown South","https://chodanggolnyc.com/","chodanggol","{restaurant}"
10360,"ChIJb67-ZZ1ZwokRRxBYr3GlFp0","Please Don't Tell","East Village","http://www.pdtnyc.com/","pdtnyc","{bar,restaurant}"
8581,"ChIJ4Q2rG4JZwokR8TVjhflNfMk","Clinton St. Baking Company","Lower East Side","http://www.clintonstreetbaking.com/",,"{bakery,restaurant}"
121509,"ChIJp-hnIhNZwokRq1FijMduZrM","COQODAQ","Flatiron District","https://coqodaq.com/","coqodaq","{restaurant}"
15969,"ChIJM2NCGJ1ZwokRA2nCkZcz08g","MáLà Project","East Village","http://malaproject.com/",,"{bar,restaurant}"
440,"ChIJvSw_uuxZwokRwESVzh5G33s","Jeju Noodle Bar","West Village","http://jejunoodlebar.com/","jejunoodlebar","{restaurant}"
22726,"ChIJ_R0w0SRZwokRCUZlNLG9B-A","RHYTHM ZERO | GREENPOINT","Greenpoint","https://www.rhythmzeronyc.com/","rhythmzeronyc","{cafe}"
512,"ChIJA5V7V69ZwokRNI_y14Yvu-w","Paper Coffee","NoMad","https://www.madehotels.com/eat-drink","madehotels","{cafe}"
2709,"ChIJ8x4nPnRbwokRozC-WjZ0VMI","Happy Medium","Two Bridges","https://happy-medium.co/",,"{cafe}"
478,"ChIJYY-OM4RZwokRvA7ECx3HRZw","PUBLIC Hotel","Lower East Side","https://www.publichotels.com/?utm_source=local-directories&utm_medium=organic&utm_campaign=travelclick-localconnect","publichotels","{lodging}"
107629,"ChIJ49KsB19ZwokR8VwrMbECQr8","Sip&Guzzle","West Village","http://www.sipandguzzlenyc.com/","sipandguzzlenyc","{bar,restaurant}"
36,"ChIJyVOaMJtZwokRdMND4_f_L-U","Joyface","Alphabet City","http://joyface.nyc/","joyfacenyc","{bar}"
1951,"ChIJnSKGEJlZwokRQIpiCvzKzV4","Strand Book Store","East Village","https://www.strandbooks.com/","strandbookstore","{book_store,shop}"
17385,"ChIJWd7fRdZZwokRhru5tn4KsVM","Torrisi","Little Italy","https://www.torrisinyc.com/?utm_medium=Click&utm_source=GoogleMyBusiness","majorfoodgroup","{restaurant}"
397,"ChIJmZ5emqJYwokRuDz79o0coAQ","Solomon R. Guggenheim Museum","Carnegie Hill","https://www.guggenheim.org/","guggenheim","{culture}"
11889,"ChIJQT7u80BZwokR5MLuGvTsBiY","St Jardim","West Village","http://www.stjardimnyc.com/","stjardimnyc","{cafe,restaurant,bar}"
1923,"ChIJF9Du35RZwokRFGd0oc4diZs","Magnolia Bakery","West Village","http://www.magnoliabakery.com/","magnoliabakery","{bakery,restaurant}"
616,"ChIJ_abIqHtZwokRLWbw0G-lzu8","Café-Flor / Bar 21","Chelsea District","https://www.raulavilainc.com/Raul_Inc/cafe","cafeflornyc","{cafe,bar}"
10592,"ChIJ1-mW-LhbwokR7Ryv5ha-gzc","Golden Diner","Two Bridges","http://www.goldendinerny.com/","goldendinerny","{restaurant}"
1942,"ChIJN3MJ6pRYwokRiXg91flSP8Y","Whitney Museum of American Art","Meatpacking District","https://whitney.org/","whitneymuseum","{culture}"
641,"ChIJKRVIbKhZwokRBg-yFy8VlKA","Her Name is Han","Midtown South","http://www.hernameishan.com/","hernameishan","{restaurant}"
530,"ChIJUWNTySlawokRFApT4_EDvv8","Coming Soon","Chinatown","https://comingsoonnewyork.com/","comingsoonny","{shop}"
1442,"ChIJUZ0c7MpYwokRh8SiMzCXL98","The Noguchi Museum","Queens","http://www.noguchi.org/","NoguchiMuseum","{culture}"
