"corner_place_id","google_id","name","neighborhood","website","instagram_handle","tags"
106279,"ChIJG4KsHWhZwokRy8XeIPr63_8","Tigre","Lower East Side","https://tigrenyc.com/",,"{night_club,bar}"
15084,"ChIJW_WGT2BZwokRNpvZ4k3lVcs","Maison Premiere","Brooklyn","http://maisonpremiere.com/",,"{bar,restaurant}"
23669,"ChIJAbYL-YNZwokRIfs6jgmbXqg","Una Pizza Napoletana","Lower East Side","https://unapizza.com/","unapizzanapoletana","{restaurant}"
8590,"ChIJn2fZe5FZwokRKCC3Aw6ldPk","Tokyo Record Bar","Greenwich Village","https://tokyorecordbar.com/","tokyorecordbar","{restaurant}"
1043,"ChIJoR3RZyhawokRwR91d6hJvvY","Super Taste","Chinatown","http://www.noodle5888.com/",,"{restaurant}"
356,"ChIJsaYZEKZZwokRThIP62r39zQ","KazuNori: The Original Hand Roll Bar","NoMad","https://www.handrollbar.com/locations/nomad/","kazunorisushi","{restaurant}"
1191,"ChIJYzpV4SNZwokRfX0a28jsH5Y","Nura","Greenpoint","http://www.nurabk.com/","nurabrooklyn","{bar,restaurant}"
2070,"ChIJ6SmehIlYwokRaO14xlmbWZU","Levain Bakery – Original Location, 74th St, NYC","Upper West Side","https://levainbakery.com/","levainbakery","{bakery}"
4205,"ChIJYbxKJmlZwokRyaASxd_iOyw","Outer Heaven","Lower East Side","http://outerheaven.nyc/","outerheaven.nyc","{night_club,bar}"
3599,"ChIJRYx-LctZwokRUGvx8Rg1LQA","Somewhere Nowhere NYC - Lounge, Nightclub & Rooftop Pool","Chelsea District","https://www.somewherenowherenyc.com/","swnwnyc","{night_club,bar,restaurant}"
2575,"ChIJjX494pBZwokRGH620d9eYfo","Washington Square Park","Greenwich Village","https://www.nycgovparks.org/parks/washington-square-park",,"{nature}"
140306,"ChIJ72quYgBZwokRNidaRewKpUg","Mama's TOO! Pizzeria West Village","West Village","https://www.mamastoo.com/","mamas_too","{restaurant}"
59537,"ChIJdco4TKpZwokRdtg39W89yog","Culture Espresso","Midtown South","http://www.cultureespresso.com/","cultureespresso","{cafe,bakery}"
324,"ChIJ-b2RmVlZwokRpb1pwEQjss0","Grand Central Terminal","Midtown East","https://www.grandcentralterminal.com/","grandcentralnyc","{destination}"
10482,"ChIJ3dbcl41ZwokRouIrXtQ5erk","Shuka","SoHo","http://www.shukanewyork.com/","shukanyc","{restaurant}"
